country,country_code,year,marriage_rate
Australia,AUS,2000,5.9
Australia,AUS,2001,5.3
Australia,AUS,2002,5.4
Australia,AUS,2003,5.348
Australia,AUS,2004,5.5
Australia,AUS,2005,5.4
Australia,AUS,2006,5.5
Australia,AUS,2007,5.5
Australia,AUS,2008,5.5
Australia,AUS,2009,5.5
Australia,AUS,2010,5.4
Australia,AUS,2011,5.4
Australia,AUS,2012,5.4
Australia,AUS,2013,5.1
Australia,AUS,2014,5.2
Australia,AUS,2015,4.8
Australia,AUS,2016,4.9
Australia,AUS,2017,4.6
Australia,AUS,2018,4.8
Australia,AUS,2019,4.5
Australia,AUS,2020,3.1
Australia,AUS,2021,3.5
Australia,AUS,2022,4.89
Austria,AUT,2000,4.9
Austria,AUT,2001,4.3
Austria,AUT,2002,4.5
Austria,AUT,2003,4.6
Austria,AUT,2004,4.7
Austria,AUT,2005,4.8
Austria,AUT,2006,4.5
Austria,AUT,2007,4.3
Austria,AUT,2008,4.2
Austria,AUT,2009,4.3
Austria,AUT,2010,4.5
Austria,AUT,2011,4.3
Austria,AUT,2012,4.6
Austria,AUT,2013,4.3
Austria,AUT,2014,4.4
Austria,AUT,2015,5.1
Austria,AUT,2016,5.1
Austria,AUT,2017,5.1
Austria,AUT,2018,5.3
Austria,AUT,2019,5.2
Austria,AUT,2020,4.4
Austria,AUT,2021,4.59
Austria,AUT,2022,5.24
Belgium,BEL,2000,4.4
Belgium,BEL,2001,4.1
Belgium,BEL,2002,3.9
Belgium,BEL,2003,4.0
Belgium,BEL,2004,4.2
Belgium,BEL,2005,4.1
Belgium,BEL,2006,4.2
Belgium,BEL,2007,4.3
Belgium,BEL,2008,4.3
Belgium,BEL,2009,4.0
Belgium,BEL,2010,3.9
Belgium,BEL,2011,3.7
Belgium,BEL,2012,3.8
Belgium,BEL,2013,3.4
Belgium,BEL,2014,3.6
Belgium,BEL,2015,4.0
Belgium,BEL,2016,3.9
Belgium,BEL,2017,3.9
Belgium,BEL,2018,3.9
Belgium,BEL,2019,3.9
Belgium,BEL,2020,2.8
Belgium,BEL,2021,3.5
Belgium,BEL,2022,4.2
Canada,CAN,2000,5.1
Canada,CAN,2001,4.7
Canada,CAN,2002,4.7
Canada,CAN,2003,4.7
Canada,CAN,2004,4.6
Canada,CAN,2005,4.6
Canada,CAN,2006,4.6
Canada,CAN,2007,4.5
Canada,CAN,2008,4.4
Canada,CAN,2009,4.4
Canada,CAN,2010,4.3
Canada,CAN,2011,4.2
Canada,CAN,2012,4.2
Canada,CAN,2013,4.1
Canada,CAN,2014,4.2
Canada,CAN,2015,4.2
Canada,CAN,2016,4.1
Canada,CAN,2017,4.1
Canada,CAN,2018,4.1
Canada,CAN,2019,3.9
Canada,CAN,2020,2.6
Chile,CHL,2000,4.4
Chile,CHL,2001,4.1
Chile,CHL,2002,3.9
Chile,CHL,2003,3.6
Chile,CHL,2004,3.3
Chile,CHL,2005,3.3098
Chile,CHL,2006,3.5389858035
Chile,CHL,2007,3.4818497616
Chile,CHL,2008,3.3
Chile,CHL,2009,3.3
Chile,CHL,2010,3.5311237242
Chile,CHL,2011,3.7550040728
Chile,CHL,2012,3.6535817924872624
Chile,CHL,2013,3.484997004522397
Chile,CHL,2014,3.640372827872905
Chile,CHL,2015,3.4290016881213448
Chile,CHL,2016,3.43361907980504
Chile,CHL,2017,3.3291362618
Chile,CHL,2018,3.3697208289
Chile,CHL,2019,3.2
Chile,CHL,2020,1.9
Chile,CHL,2021,2.7
Colombia,COL,2011,0.8007236288137235
Colombia,COL,2012,1.4568987564097695
Colombia,COL,2013,1.3954685979349926
Colombia,COL,2014,1.3991502248960996
Colombia,COL,2015,1.331337485391333
Colombia,COL,2016,1.2684493802252201
Colombia,COL,2017,1.2021518713256043
Colombia,COL,2018,1.1508352490175429
Colombia,COL,2019,1.1258677459645339
Colombia,COL,2020,0.8472504390784311
Colombia,COL,2021,1.2174024053789851
Colombia,COL,2022,1.39
Costa Rica,CRI,2000,6.310381631407706
Costa Rica,CRI,2001,6.017615754365933
Costa Rica,CRI,2002,5.94814429383624
Costa Rica,CRI,2003,5.982764801824587
Costa Rica,CRI,2004,6.11056877906404
Costa Rica,CRI,2005,6.080543778207119
Costa Rica,CRI,2006,6.211062539264667
Costa Rica,CRI,2007,5.992549056651591
Costa Rica,CRI,2008,5.684261674943064
Costa Rica,CRI,2009,5.352024248786789
Costa Rica,CRI,2010,5.283537727172272
Costa Rica,CRI,2011,5.446905141797446
Costa Rica,CRI,2012,5.612515959847737
Costa Rica,CRI,2013,5.458112086852738
Costa Rica,CRI,2014,5.428106862619599
Costa Rica,CRI,2015,5.486497219604956
Costa Rica,CRI,2016,5.46338806127632
Costa Rica,CRI,2017,5.15
Costa Rica,CRI,2018,4.717334646
Costa Rica,CRI,2019,4.482452621
Costa Rica,CRI,2020,3.6882227098
Costa Rica,CRI,2021,4.7162603495
Costa Rica,CRI,2022,4.39
Czechia,CZE,2000,5.4
Czechia,CZE,2001,5.1
Czechia,CZE,2002,5.2
Czechia,CZE,2003,4.8
Czechia,CZE,2004,5.0
Czechia,CZE,2005,5.1
Czechia,CZE,2006,5.2
Czechia,CZE,2007,5.5
Czechia,CZE,2008,5.1
Czechia,CZE,2009,4.6
Czechia,CZE,2010,4.5
Czechia,CZE,2011,4.3
Czechia,CZE,2012,4.3
Czechia,CZE,2013,4.1
Czechia,CZE,2014,4.3
Czechia,CZE,2015,4.6
Czechia,CZE,2016,4.8
Czechia,CZE,2017,5.0
Czechia,CZE,2018,5.1
Czechia,CZE,2019,5.1
Czechia,CZE,2020,4.2
Czechia,CZE,2021,4.5
Czechia,CZE,2022,5.1
Denmark,DNK,2000,7.2
Denmark,DNK,2001,6.8
Denmark,DNK,2002,6.9
Denmark,DNK,2003,6.5
Denmark,DNK,2004,7.0
Denmark,DNK,2005,6.7
Denmark,DNK,2006,6.7
Denmark,DNK,2007,6.7
Denmark,DNK,2008,6.8
Denmark,DNK,2009,6.0
Denmark,DNK,2010,5.6
Denmark,DNK,2011,4.9
Denmark,DNK,2012,5.1
Denmark,DNK,2013,4.9
Denmark,DNK,2014,5.0
Denmark,DNK,2015,5.1
Denmark,DNK,2016,5.4
Denmark,DNK,2017,5.5
Denmark,DNK,2018,5.6
Denmark,DNK,2019,5.3
Denmark,DNK,2020,4.9
Denmark,DNK,2021,4.7
Denmark,DNK,2022,5.34
Estonia,EST,2000,3.9
Estonia,EST,2001,4.1
Estonia,EST,2002,4.2
Estonia,EST,2003,4.2
Estonia,EST,2004,4.4
Estonia,EST,2005,4.5
Estonia,EST,2006,5.2
Estonia,EST,2007,5.2
Estonia,EST,2008,4.6
Estonia,EST,2009,4.0
Estonia,EST,2010,3.8
Estonia,EST,2011,4.1
Estonia,EST,2012,4.5
Estonia,EST,2013,4.3
Estonia,EST,2014,4.7
Estonia,EST,2015,5.2
Estonia,EST,2016,4.8
Estonia,EST,2017,4.9
Estonia,EST,2018,5.0
Estonia,EST,2019,5.1
Estonia,EST,2020,4.6
Estonia,EST,2022,5.3
Finland,FIN,2000,5.1
Finland,FIN,2001,4.8
Finland,FIN,2002,5.2
Finland,FIN,2003,5.0
Finland,FIN,2004,5.6
Finland,FIN,2005,5.6
Finland,FIN,2006,5.4
Finland,FIN,2007,5.6
Finland,FIN,2008,5.8
Finland,FIN,2009,5.6
Finland,FIN,2010,5.6
Finland,FIN,2011,5.3
